ForeignWorker,Age,LoanAmount,NumberOfLiableIndividuals,Gender,CheckingAccountBalance_geq_200,LoanDuration,YearsAtCurrentHome,HasGuarantor,NumberOfOtherLoansAtBank,OtherLoansAtStore,LoanRateAsPercentOfIncome,is_not_ood
-0.2,-0.13,-0.54,-0.42,0.68,-0.26,-0.2,-0.09,-0.24,-0.15,0.0,-1.75,0
-0.2,-0.66,0.72,-0.42,0.68,-0.26,0.79,-0.77,-0.24,1.04,0.0,0.92,1
5.05,1.44,2.07,-0.39,0.68,-0.26,-0.56,0.16,-0.24,-0.22,0.0,-1.75,0
-0.2,-0.92,-0.28,-0.42,-1.48,-0.26,-0.1,1.05,-0.24,-0.24,0.0,0.92,0
-0.2,0.04,-0.6,-0.42,-1.48,-0.26,0.03,1.05,-0.24,-0.7,0.0,0.92,1
-0.2,-0.48,-0.33,-0.39,0.68,-0.26,-0.28,-0.23,-0.24,0.39,0.0,0.92,0
-0.2,2.49,-0.36,-0.42,-1.48,-0.26,-1.24,0.16,4.12,1.33,0.0,-0.86,0
-0.2,0.1,-0.37,-0.42,-1.48,-0.26,-0.8,0.21,-0.24,1.04,0.0,-0.86,0
-0.2,-0.57,0.4,-0.42,-1.48,-0.26,-0.28,1.05,-0.24,-0.15,0.0,-1.75,0
-0.2,-0.6,-0.37,-0.15,0.68,-0.26,-0.28,0.21,-0.24,1.04,0.0,0.92,0
-0.2,0.28,-0.28,-0.42,0.68,-0.26,1.3,0.21,-0.24,-0.15,0.0,0.92,0
-0.2,-0.12,-0.28,-0.42,0.68,-0.26,0.03,0.16,-0.24,1.04,0.0,0.92,0
-0.2,1.44,0.79,-0.42,-1.48,-0.26,-0.2,0.86,-0.24,-0.7,0.0,-0.86,0
-0.2,0.1,-0.11,-0.42,0.68,-0.26,-0.16,0.14,-0.24,2.78,0.0,0.03,0
-0.2,-0.48,-0.5,-0.42,-1.48,-0.26,0.28,0.16,-0.24,-0.17,0.0,0.92,0
-0.2,1.35,-0.24,-0.42,0.68,-0.26,-0.04,0.02,-0.24,-0.24,0.0,0.92,0
-0.2,-0.12,-0.46,0.15,-1.48,-0.26,0.03,-0.77,-0.24,1.04,0.0,0.03,0
-0.2,-0.03,-0.36,-0.42,-1.48,-0.26,-0.8,-0.11,-0.24,-0.7,0.0,0.92,0
-0.2,0.13,-0.46,-0.42,0.68,3.88,-0.1,0.16,-0.24,1.04,0.0,0.92,0
-0.2,2.66,-0.62,-0.42,0.68,-0.26,-0.73,1.05,-0.24,1.04,0.0,0.92,1
-0.2,-0.57,-0.41,-0.42,0.68,-0.26,-1.24,-0.77,-0.24,-0.7,0.0,-0.86,1
-0.2,1.26,1.08,-0.42,0.68,-0.26,2.32,1.05,-0.24,-0.7,0.0,0.92,1
-0.2,-0.05,-0.64,-0.42,0.68,-0.26,-0.48,1.05,-0.24,1.04,0.0,0.92,1
-0.2,0.1,0.09,-0.42,0.68,-0.26,-0.28,-0.77,4.12,-0.24,0.0,-0.86,0
-0.2,-1.1,3.0,-0.42,-1.48,-0.26,1.73,1.05,-0.24,-0.23,0.0,-1.75,0
-0.2,-1.1,-0.85,-0.42,0.68,-0.26,-0.65,1.05,4.12,1.04,0.0,0.92,1
-0.2,0.06,-0.24,-0.42,-1.48,-0.26,1.73,-0.77,-0.24,1.04,0.0,0.92,0
-0.2,-0.03,2.14,-0.42,0.68,-0.26,-0.8,0.02,-0.24,-0.12,0.0,0.92,0
-0.2,0.06,-0.37,-0.42,-1.48,-0.26,1.3,-1.69,-0.24,-0.12,0.0,0.92,0
-0.2,-0.08,-0.46,-0.42,0.68,-0.26,-0.37,-0.77,4.12,-0.22,0.0,-0.86,0
-0.2,0.06,1.12,-0.42,0.68,-0.26,-0.21,-0.09,-0.24,-0.7,0.0,-0.86,0
-0.2,-0.48,-0.28,-0.42,0.68,-0.26,-0.01,-0.19,-0.24,-0.7,0.0,0.92,0
-0.2,-0.05,0.08,2.38,-1.48,-0.26,-0.1,0.14,-0.24,0.39,0.0,0.92,0
-0.2,-0.22,-0.79,-0.42,-1.48,-0.26,-0.23,-0.77,-0.24,-0.7,0.0,0.92,1
-0.2,0.06,-0.11,-0.42,0.68,-0.26,-0.2,-0.77,-0.24,-0.22,0.0,0.92,0
-0.2,-0.57,0.03,0.15,0.68,-0.26,-0.2,-0.59,-0.24,0.39,0.0,-0.86,0
-0.2,0.06,-0.5,0.34,-1.48,-0.26,-0.01,1.05,-0.24,-0.15,0.0,0.92,0
-0.2,-0.08,-0.37,0.34,0.68,-0.26,-1.33,-0.19,-0.24,-0.7,0.0,-1.75,0
-0.2,-0.08,-0.4,2.38,0.68,-0.26,-0.01,-0.77,-0.24,-0.12,0.0,0.92,0
-0.2,-0.03,-0.73,-0.42,-1.48,-0.26,-0.99,1.05,-0.24,-0.12,0.0,0.92,0
-0.2,1.09,3.23,2.38,0.68,-0.26,-0.2,-0.77,-0.24,-0.22,0.0,-0.86,0
-0.2,-1.27,0.07,-0.42,-1.48,-0.26,0.79,1.05,-0.24,-0.7,0.0,-0.86,1
-0.2,-1.1,-0.26,0.34,-1.48,-0.26,-0.28,-0.09,-0.24,-0.15,0.0,-1.75,0
-0.2,0.06,0.09,2.38,0.68,-0.26,-0.16,-0.09,-0.24,-0.7,0.0,0.92,0
-0.2,0.91,-0.11,0.34,0.68,-0.26,-0.16,0.02,-0.24,-0.24,0.0,0.92,0
-0.2,-1.1,-0.26,-0.42,0.68,-0.26,0.54,0.02,-0.24,-0.22,0.0,0.92,0
-0.2,1.44,-0.24,-0.42,0.68,-0.26,0.79,-0.59,-0.24,-0.12,0.0,0.92,0
-0.2,-0.6,-0.36,0.34,0.68,-0.26,-0.2,0.14,-0.24,-0.24,0.0,0.92,0
-0.2,-0.66,-0.46,-0.15,0.68,-0.26,-0.04,1.05,-0.24,-0.7,0.0,0.92,0
-0.2,0.1,-0.15,2.38,0.68,-0.26,-0.8,-0.19,-0.24,-0.24,0.0,0.92,0
-0.2,2.22,2.14,-0.39,0.68,-0.26,-0.21,-0.23,-0.24,-0.15,0.0,0.03,0
-0.2,1.44,-0.62,-0.42,0.68,-0.26,-0.16,0.14,-0.24,-0.24,0.0,0.03,0
-0.2,0.04,-0.67,-0.42,0.68,-0.26,-0.28,-0.11,-0.24,-0.7,0.0,-0.86,0
-0.2,-0.6,-0.15,-0.39,-1.48,-0.26,0.79,0.86,-0.24,-0.12,0.0,0.92,0
-0.2,0.28,-0.12,2.38,0.68,-0.26,-0.28,-0.59,-0.24,1.04,0.0,0.92,0
-0.2,-0.48,-0.77,-0.42,0.68,-0.26,-0.73,-0.23,-0.24,-0.12,0.0,0.92,0
-0.2,0.1,2.14,0.15,-1.48,-0.26,-0.23,1.05,-0.24,-0.12,0.0,0.92,0
-0.2,-0.08,-0.37,-0.42,0.68,-0.26,-0.8,1.05,-0.24,1.04,0.0,0.92,0
-0.2,1.44,-0.28,-0.39,0.68,-0.26,-0.04,-0.77,-0.24,-0.7,0.0,0.92,0
5.05,0.28,-0.38,-0.42,0.68,-0.26,-0.73,0.86,-0.24,-0.15,0.0,0.92,0
-0.2,-0.92,2.14,-0.42,-1.48,-0.26,-0.8,0.21,4.12,-0.7,0.0,0.92,0
-0.2,-0.08,-0.37,-0.39,0.68,-0.26,-0.01,-0.11,-0.24,-0.7,0.0,-0.86,0
-0.2,-0.66,-0.24,-0.39,0.68,-0.26,-0.8,-0.59,-0.24,-0.7,0.0,0.92,0
-0.2,0.1,-0.37,-0.42,0.68,-0.26,-0.8,-0.19,-0.24,-0.24,0.0,0.92,0
-0.2,-0.48,-0.06,0.34,0.68,-0.26,-0.28,-0.11,-0.24,-0.23,0.0,0.92,0
-0.2,-1.1,-0.12,-0.15,0.68,3.88,1.3,-0.09,-0.24,-0.15,0.0,-0.86,0
-0.2,-0.75,-0.11,-0.39,0.68,-0.26,0.03,0.14,-0.24,1.04,0.0,-0.86,0
-0.2,-1.1,-0.79,-0.42,0.68,-0.26,-0.9,-0.19,-0.24,-0.12,0.0,0.92,0
-0.2,-0.31,-0.5,-0.42,0.68,-0.26,-0.1,-0.09,-0.24,-0.7,0.0,-0.86,0
-0.2,0.06,1.22,-0.39,0.68,-0.26,-0.2,-0.09,-0.24,-0.15,0.0,-0.86,0
-0.2,-0.66,-0.77,-0.42,0.68,-0.26,-0.73,0.14,-0.24,1.04,0.0,0.92,1
-0.2,-0.08,-0.26,-0.39,-1.48,-0.26,-0.37,-1.69,-0.24,0.39,0.0,0.92,0
-0.2,-1.1,-0.37,0.34,-1.48,-0.26,-0.65,1.05,4.12,0.39,0.0,-0.86,0
-0.2,0.1,-0.71,-0.42,-1.48,-0.26,-0.48,-0.23,-0.24,-0.22,0.0,0.92,0
-0.2,1.44,2.42,-0.42,-1.48,-0.26,-0.2,-0.23,-0.24,-0.7,0.0,-1.75,0
-0.2,-0.6,-0.11,-0.39,-1.48,-0.26,-0.37,1.05,-0.24,-0.7,0.0,0.03,0
-0.2,-0.48,-0.11,-0.42,0.68,-0.26,-0.16,0.14,-0.24,-0.24,0.0,0.03,0
-0.2,0.28,-0.11,0.15,0.68,-0.26,-0.1,0.14,-0.24,-0.15,0.0,0.92,0
-0.2,0.28,-0.09,-0.42,0.68,-0.26,-0.16,-0.09,-0.24,-0.24,0.0,0.92,0
-0.2,0.65,-0.47,0.34,0.68,-0.26,-0.1,-0.09,-0.24,2.78,0.0,0.92,0
-0.2,0.1,-0.11,-0.39,0.68,-0.26,-0.37,-0.77,-0.24,-0.7,0.0,0.92,0
-0.2,-0.48,1.84,-0.42,-1.48,-0.26,2.32,-1.69,-0.24,1.04,0.0,-1.75,1
-0.2,-0.57,-0.84,0.34,-1.48,-0.26,-0.21,0.02,-0.24,0.39,0.0,0.92,0
-0.2,-0.08,-0.46,-0.42,0.68,-0.26,-0.48,-0.59,-0.24,0.39,0.0,0.92,0
-0.2,0.06,-0.13,-0.42,0.68,-0.26,-0.01,1.05,-0.24,-0.7,0.0,0.03,0
-0.2,-1.1,-0.11,-0.42,-1.48,-0.26,-0.8,0.21,-0.24,-0.7,0.0,-1.75,0
-0.2,0.06,-0.37,-0.42,0.68,-0.26,-0.2,0.86,-0.24,-0.7,0.0,0.92,0
-0.2,-0.22,-0.37,-0.42,-1.48,-0.26,-0.1,0.21,-0.24,-0.24,0.0,-1.75,0
-0.2,-0.03,-0.46,-0.39,0.68,-0.26,-0.2,-0.23,-0.24,4.53,0.0,0.92,0
-0.2,-0.03,0.09,-0.42,0.68,-0.26,-1.16,0.16,-0.24,-0.12,0.0,0.03,0
-0.2,0.06,-0.5,0.15,-1.48,-0.26,-0.2,-0.59,-0.24,1.33,0.0,0.92,0
-0.2,-0.75,3.88,-0.42,0.68,-0.26,3.34,-0.77,-0.24,-0.7,0.0,0.92,1
-0.2,-0.57,-0.24,0.34,-1.48,-0.26,-0.01,0.16,-0.24,-0.7,0.0,0.03,0
-0.2,0.28,1.56,0.15,0.68,-0.26,-0.2,-0.09,-0.24,-0.24,0.0,-0.86,0
-0.2,-0.57,-0.11,-0.42,0.68,-0.26,2.32,0.16,4.12,1.04,0.0,-1.75,0
-0.2,0.06,2.14,-0.39,0.68,-0.26,2.32,0.86,-0.24,-0.17,0.0,-0.86,0
-0.2,0.28,0.94,0.15,0.68,3.88,-0.21,0.16,-0.24,-0.7,0.0,0.92,0
-0.2,-0.57,0.98,-0.42,-1.48,-0.26,-0.21,-1.69,-0.24,-0.22,0.0,-0.86,0
-0.2,0.28,-0.28,0.15,-1.48,-0.26,-0.1,1.05,-0.24,1.04,0.0,0.92,0
-0.2,1.44,-0.28,-0.39,0.68,-0.26,0.79,-0.19,-0.24,-0.23,0.0,0.03,0
-0.2,-0.31,0.09,2.38,0.68,-0.26,-0.28,-0.77,-0.24,-0.22,0.0,-1.75,0
-0.2,-0.6,-0.12,-0.42,0.68,-0.26,-0.73,-0.19,-0.24,-0.7,0.0,0.03,0
-0.2,0.22,-0.0,-0.42,0.68,-0.26,-0.23,1.05,-0.24,-0.7,0.0,-0.86,1
-0.2,-0.48,-0.44,0.15,0.68,-0.26,-0.8,0.86,-0.24,0.39,0.0,0.03,0
-0.2,-0.92,-0.71,-0.42,0.68,-0.26,-0.48,-0.77,-0.24,-0.7,0.0,-0.86,1
-0.2,-0.22,-0.11,0.34,0.68,3.88,0.03,-0.09,-0.24,-0.7,0.0,-0.86,0
-0.2,-0.13,-0.5,-0.42,0.68,3.88,-0.37,0.16,-0.24,-0.12,0.0,0.92,0
-0.2,-0.48,2.14,0.15,0.68,-0.26,-0.1,1.05,-0.24,-0.7,0.0,-0.86,0
-0.2,-0.08,-1.04,-0.42,0.68,-0.26,-0.2,-0.59,-0.24,-0.24,0.0,0.92,0
-0.2,0.28,0.72,-0.42,0.68,-0.26,1.73,0.16,-0.24,-0.17,0.0,0.92,0
-0.2,0.39,0.38,-0.42,0.68,-0.26,-0.23,0.14,-0.24,-0.7,0.0,0.92,1
-0.2,-0.66,-0.5,-0.39,-1.48,-0.26,-0.01,1.05,-0.24,-0.23,0.0,0.03,0
-0.2,1.44,-0.94,-0.42,0.68,-0.26,-0.16,0.16,4.12,-0.24,0.0,0.92,0
-0.2,-0.57,-0.62,0.15,0.68,-0.26,-0.21,1.05,-0.24,-0.22,0.0,0.92,0
-0.2,0.06,-0.28,-0.42,0.68,-0.26,1.73,-0.19,-0.24,-0.23,0.0,0.92,0
-0.2,0.06,2.14,-0.42,0.68,-0.26,1.73,0.16,-0.24,-0.7,0.0,-0.86,0
-0.2,-0.57,0.09,-0.42,-1.48,-0.26,-0.73,-0.77,-0.24,1.04,0.0,0.03,1
-0.2,-0.57,0.04,-0.42,-1.48,-0.26,0.03,-0.77,-0.24,-0.7,0.0,0.92,1
-0.2,-0.6,0.5,-0.42,0.68,-0.26,-0.28,-0.77,-0.24,-0.23,0.0,0.03,0
-0.2,-0.66,-0.23,-0.42,-1.48,-0.26,0.03,1.05,-0.24,-0.7,0.0,0.92,1
-0.2,-0.08,-0.12,-0.42,0.68,-0.26,-0.73,0.02,-0.24,-0.24,0.0,-1.75,0
-0.2,0.28,0.49,-0.15,0.68,-0.26,-0.04,0.21,-0.24,-0.7,0.0,0.03,0
-0.2,2.4,-0.46,-0.42,0.68,-0.26,-0.21,0.02,-0.24,1.33,0.0,-1.75,0
-0.2,-1.27,-0.24,-0.42,-1.48,-0.26,0.54,0.14,-0.24,-0.7,0.0,0.03,1
-0.2,1.44,-0.06,0.15,0.68,-0.26,0.28,0.02,-0.24,-0.22,0.0,0.92,0
-0.2,-0.03,-0.6,-0.39,0.68,-0.26,1.73,-0.11,-0.24,0.39,0.0,0.92,0
-0.2,-0.6,-0.18,-0.42,0.68,-0.26,-0.01,-0.23,-0.24,1.33,0.0,0.92,0
-0.2,-0.57,-0.61,0.15,0.68,-0.26,-0.23,-0.19,-0.24,-0.23,0.0,0.03,0
-0.2,-0.12,2.14,-0.42,0.68,-0.26,-0.16,-0.77,-0.24,1.04,0.0,-1.75,0
-0.2,0.06,1.14,0.15,0.68,-0.26,-0.2,0.86,-0.24,-0.7,0.0,-1.75,0
-0.2,0.06,0.09,-0.42,0.68,-0.26,-0.21,1.05,4.12,-0.7,0.0,0.92,0
-0.2,0.28,-0.24,-0.42,0.68,-0.26,1.3,-0.77,-0.24,-0.24,0.0,0.03,0
-0.2,0.1,2.14,2.38,0.68,-0.26,-0.01,-0.09,-0.24,-0.12,0.0,0.92,0
-0.2,-0.12,-0.28,0.15,-1.48,-0.26,-0.28,-0.77,-0.24,1.04,0.0,0.03,0
-0.2,-0.6,-0.24,-0.42,-1.48,-0.26,-0.23,-1.69,-0.24,1.33,0.0,0.92,0
-0.2,-0.03,1.88,0.34,-1.48,-0.26,-0.28,-0.23,-0.24,1.04,0.0,-1.75,0
-0.2,1.44,-0.36,-0.42,0.68,-0.26,-0.2,-0.11,-0.24,-0.7,0.0,0.03,0
-0.2,0.28,-0.69,2.38,0.68,3.88,-0.28,1.05,-0.24,-0.22,0.0,-0.86,0
-0.2,-0.48,-0.12,-0.42,-1.48,-0.26,-0.01,-0.23,-0.24,-0.7,0.0,0.92,0
-0.2,-0.6,-0.38,-0.42,0.68,-0.26,-0.37,1.05,-0.24,-0.24,0.0,0.92,0
-0.2,-0.92,-0.71,-0.42,0.68,-0.26,-0.73,-0.77,-0.24,-0.7,0.0,0.03,1
-0.2,-0.08,-0.28,0.15,-1.48,-0.26,-0.23,-0.11,-0.24,1.04,0.0,-1.75,0
-0.2,1.44,-0.11,-0.42,0.68,-0.26,-0.23,1.05,-0.24,-0.7,0.0,0.92,0
-0.2,0.39,-0.28,-0.42,-1.48,-0.26,-0.21,1.05,-0.24,1.04,0.0,0.92,0
-0.2,-0.08,-0.0,-0.42,-1.48,-0.26,-0.37,-0.09,-0.24,-0.7,0.0,0.92,0
-0.2,-0.57,-0.24,-0.39,0.68,-0.26,1.73,-0.59,4.12,-0.7,0.0,0.92,0
-0.2,0.28,-0.46,-0.42,-1.48,-0.26,0.03,-0.77,-0.24,-0.23,0.0,0.92,0
-0.2,-0.48,-0.36,-0.42,-1.48,-0.26,-0.73,0.16,4.12,0.39,0.0,0.92,0
-0.2,-0.08,-0.51,-0.42,0.68,-0.26,-0.2,-0.09,-0.24,-0.22,0.0,0.92,0
-0.2,2.22,-0.46,-0.42,0.68,-0.26,1.3,1.05,-0.24,-0.7,0.0,0.92,1
-0.2,-0.6,-0.28,-0.15,-1.48,-0.26,-0.28,1.05,-0.24,-0.12,0.0,0.92,0
-0.2,-0.12,0.69,-0.42,0.68,-0.26,-0.8,0.86,-0.24,-0.23,0.0,0.92,0
-0.2,0.56,2.57,-0.39,0.68,-0.26,-0.2,0.16,-0.24,-0.7,0.0,-0.86,0
5.05,-0.6,-0.28,-0.42,-1.48,-0.26,-0.8,1.05,4.12,-0.15,0.0,-1.75,0
-0.2,-0.13,-0.15,2.38,0.68,-0.26,0.28,0.14,-0.24,1.04,0.0,0.92,1
-0.2,1.09,-0.54,-0.42,0.68,-0.26,0.28,-0.77,-0.24,1.04,0.0,0.92,1
-0.2,0.06,-0.12,-0.42,0.68,-0.26,-0.23,-0.23,-0.24,-0.17,0.0,0.92,0
-0.2,0.28,-0.25,-0.42,0.68,-0.26,-0.04,0.02,-0.24,-0.12,0.0,0.92,0
-0.2,-0.92,-0.73,-0.42,-1.48,-0.26,-0.99,1.05,-0.24,-0.7,0.0,0.92,1
-0.2,-0.48,-0.51,2.38,0.68,-0.26,0.28,-0.77,-0.24,-0.7,0.0,0.92,1
-0.2,-0.48,-0.6,0.15,0.68,-0.26,-0.21,1.05,-0.24,-0.7,0.0,0.92,0
-0.2,0.28,0.53,-0.39,0.68,-0.26,1.73,0.14,-0.24,1.04,0.0,-1.75,0
-0.2,0.28,-0.47,-0.42,0.68,-0.26,-0.16,-0.09,-0.24,-0.12,0.0,0.92,0
-0.2,-0.6,-0.83,0.34,0.68,-0.26,0.28,-0.77,-0.24,-0.7,0.0,0.92,0
-0.2,-0.57,-0.12,-0.42,0.68,-0.26,-0.01,1.05,-0.24,1.04,0.0,0.92,0
-0.2,0.1,-0.73,-0.42,0.68,-0.26,-0.2,0.21,-0.24,1.04,0.0,0.92,0
-0.2,1.7,-0.24,-0.42,-1.48,-0.26,-0.73,1.05,-0.24,-0.7,0.0,0.03,1
-0.2,-0.6,-0.37,-0.39,0.68,3.88,-0.28,-0.77,-0.24,-0.7,0.0,-0.86,0
-0.2,-0.6,-0.24,-0.15,-1.48,-0.26,-0.04,-0.59,-0.24,-0.7,0.0,-0.86,0
-0.2,-0.12,-0.6,-0.42,0.68,-0.26,-0.37,1.05,-0.24,1.33,0.0,0.92,0
-0.2,0.04,-0.11,0.34,0.68,-0.26,-0.28,-0.09,-0.24,-0.7,0.0,-0.86,0
-0.2,-0.48,-0.5,-0.42,0.68,-0.26,1.56,0.02,-0.24,-0.7,0.0,0.92,0
-0.2,0.1,2.14,-0.39,-1.48,-0.26,-0.1,-0.59,-0.24,0.39,0.0,0.03,0
-0.2,-0.12,0.98,-0.42,0.68,-0.26,-0.16,-0.19,-0.24,-0.12,0.0,-1.75,0
-0.2,0.1,-0.28,-0.15,0.68,-0.26,-1.24,-0.11,-0.24,-0.22,0.0,0.92,0
-0.2,0.1,0.26,-0.39,0.68,3.88,-0.9,0.16,4.12,-0.22,0.0,-1.75,0
-0.2,0.39,-0.48,-0.42,0.68,3.88,-0.48,1.05,-0.24,-0.7,0.0,0.92,1
-0.2,-0.6,0.09,-0.42,0.68,-0.26,0.28,-0.19,-0.24,-0.23,0.0,0.92,0
-0.2,-0.6,-0.46,-0.39,-1.48,-0.26,-0.48,-0.09,-0.24,-0.7,0.0,0.03,0
-0.2,-0.13,-0.5,-0.42,-1.48,-0.26,0.28,1.05,-0.24,-0.7,0.0,0.92,1
-0.2,0.04,-0.16,2.38,0.68,-0.26,-0.99,-0.77,-0.24,1.04,0.0,-0.86,1
-0.2,0.13,-0.7,-0.42,-1.48,-0.26,0.28,1.05,-0.24,1.04,0.0,0.92,1
-0.2,-0.57,-0.12,-0.42,0.68,-0.26,-0.99,-0.11,-0.24,1.33,0.0,0.03,0
-0.2,0.04,0.33,0.34,0.68,-0.26,1.73,-0.77,-0.24,0.39,0.0,-0.86,0
-0.2,-0.57,-0.37,0.15,0.68,-0.26,-0.16,-0.77,-0.24,-0.7,0.0,0.92,0
-0.2,1.35,2.14,-0.42,0.68,-0.26,1.3,0.21,-0.24,-0.7,0.0,0.92,0
-0.2,1.44,-0.28,-0.15,0.68,-0.26,0.79,-0.23,-0.24,-0.22,0.0,-0.86,0
-0.2,-0.75,-0.78,-0.42,0.68,-0.26,-0.99,1.05,-0.24,1.04,0.0,0.92,1
-0.2,-0.48,-0.37,-0.42,0.68,-0.26,-0.16,-0.77,-0.24,-0.17,0.0,0.92,0
-0.2,-0.12,-0.67,-0.42,-1.48,-0.26,0.28,0.21,-0.24,-0.12,0.0,0.92,0
-0.2,2.84,-0.24,-0.42,0.68,-0.26,-1.24,1.05,-0.24,-0.24,0.0,-1.75,0
-0.2,-0.75,-0.24,-0.42,0.68,-0.26,-0.16,-0.77,-0.24,0.39,0.0,-0.86,0
-0.2,-0.92,-0.28,-0.42,-1.48,-0.26,-0.28,1.05,-0.24,-0.12,0.0,0.92,0
-0.2,-0.57,-0.37,-0.39,0.68,-0.26,-0.28,1.05,-0.24,1.33,0.0,0.92,0
-0.2,-0.05,-0.12,-0.39,0.68,-0.26,-0.21,-0.77,-0.24,-0.22,0.0,0.03,0
-0.2,-1.27,-0.17,-0.42,0.68,-0.26,-0.23,0.14,-0.24,-0.7,0.0,-1.75,1
-0.2,-0.05,0.41,-0.42,0.68,-0.26,-0.23,-0.11,-0.24,-0.22,0.0,0.03,0
-0.2,-1.27,1.2,-0.42,0.68,-0.26,0.28,-0.77,-0.24,-0.7,0.0,-0.86,1
-0.2,0.22,-0.46,-0.42,0.68,-0.26,2.32,-0.77,-0.24,0.39,0.0,0.92,0
-0.2,-0.31,1.44,2.38,0.68,-0.26,2.32,0.14,-0.24,1.04,0.0,0.03,1
-0.2,-0.12,0.09,-0.42,0.68,-0.26,0.28,0.02,-0.24,1.33,0.0,0.92,0
-0.2,-0.05,-0.45,-0.39,0.68,-0.26,-0.01,-0.77,-0.24,-0.22,0.0,0.92,0
-0.2,0.1,0.09,-0.42,-1.48,-0.26,0.28,1.05,-0.24,-0.15,0.0,0.92,0
-0.2,-0.75,-0.24,-0.42,0.68,-0.26,-0.1,-0.77,-0.24,-0.24,0.0,0.92,0
-0.2,-0.4,-0.66,-0.42,0.68,-0.26,-0.73,-0.77,-0.24,-0.7,0.0,-0.86,1
-0.2,-0.83,2.14,-0.39,0.68,-0.26,1.3,0.21,-0.24,-0.22,0.0,-0.86,0
-0.2,-0.12,-0.46,-0.42,-1.48,-0.26,-0.2,0.14,-0.24,-0.7,0.0,0.92,0
-0.2,-0.08,-0.36,-0.42,-1.48,3.88,-0.04,0.16,-0.24,-0.7,0.0,-1.75,0
-0.2,-1.18,-0.67,-0.42,-1.48,-0.26,-0.99,1.05,-0.24,-0.7,0.0,0.03,1
-0.2,0.13,0.16,2.38,0.68,-0.26,-1.24,0.14,-0.24,2.78,0.0,-1.75,1
-0.2,-0.08,-0.63,2.38,0.68,-0.26,-0.48,1.05,-0.24,1.33,0.0,0.92,0
-0.2,-0.57,0.06,-0.42,0.68,3.88,-0.16,0.14,-0.24,-0.24,0.0,-0.86,0
-0.2,0.06,2.14,2.38,0.68,-0.26,2.32,0.16,-0.24,1.33,0.0,0.03,0
-0.2,0.1,-0.5,-0.42,0.68,3.88,0.28,-0.77,-0.24,-0.24,0.0,0.92,0
-0.2,0.04,-0.91,0.15,0.68,-0.26,-0.1,0.02,-0.24,-0.15,0.0,0.92,0
-0.2,-0.57,1.95,-0.42,0.68,-0.26,-0.21,-0.09,-0.24,-0.22,0.0,-0.86,0
-0.2,0.04,-0.67,-0.42,0.68,-0.26,-0.73,0.14,-0.24,-0.7,0.0,-0.86,1
-0.2,0.06,1.27,-0.42,-1.48,-0.26,-0.2,0.86,-0.24,-0.24,0.0,0.03,0
-0.2,-0.57,-0.11,2.38,0.68,-0.26,-0.2,-0.11,-0.24,-0.12,0.0,-1.75,0
-0.2,-0.83,2.42,-0.42,-1.48,-0.26,-0.8,-0.59,-0.24,-0.7,0.0,-1.75,0
-0.2,-0.12,-0.45,-0.42,0.68,-0.26,-0.28,-0.19,-0.24,1.33,0.0,0.92,0
-0.2,0.65,2.14,-0.15,0.68,-0.26,-0.8,0.14,-0.24,-0.24,0.0,0.03,0
-0.2,-0.92,-0.11,-0.42,-1.48,-0.26,0.28,0.02,-0.24,0.39,0.0,-0.86,0
-0.2,1.88,-0.11,-0.42,0.68,-0.26,-0.37,-0.09,-0.24,-0.7,0.0,0.92,0
-0.2,-1.27,-0.12,-0.42,0.68,-0.26,-0.37,-0.19,-0.24,1.33,0.0,-1.75,0
-0.2,-0.92,-0.71,-0.39,0.68,-0.26,-0.21,-0.11,-0.24,-0.15,0.0,0.92,0
-0.2,0.1,-0.61,-0.39,0.68,-0.26,-0.1,-0.77,-0.24,-0.15,0.0,0.92,0
-0.2,0.56,-0.11,-0.42,0.68,-0.26,-1.24,1.05,-0.24,1.33,0.0,-0.86,0
-0.2,0.28,1.74,-0.42,-1.48,-0.26,-0.16,0.86,-0.24,-0.23,0.0,0.03,0
-0.2,0.74,0.53,2.38,0.68,-0.26,-1.24,0.14,-0.24,1.04,0.0,-1.75,1
-0.2,0.13,2.14,0.34,0.68,-0.26,-0.1,1.05,-0.24,-0.22,0.0,0.92,0
-0.2,-0.66,-0.77,-0.42,0.68,-0.26,-0.73,0.14,-0.24,1.04,0.0,0.92,1
-0.2,1.44,-0.28,-0.42,-1.48,-0.26,1.73,0.02,-0.24,1.33,0.0,0.03,0
-0.2,0.06,-0.12,-0.42,-1.48,-0.26,-0.37,-0.59,-0.24,-0.7,0.0,0.92,0
-0.2,0.74,-0.46,-0.42,0.68,-0.26,-0.16,-0.09,-0.24,-0.12,0.0,0.03,0
-0.2,-0.66,0.34,-0.42,0.68,-0.26,0.28,1.05,-0.24,-0.7,0.0,0.92,1
-0.2,-0.92,-0.12,-0.42,-1.48,-0.26,-0.37,0.86,-0.24,-0.22,0.0,-0.86,0
-0.2,-0.08,-0.32,-0.42,0.68,-0.26,1.3,-0.09,-0.24,1.33,0.0,0.92,0
-0.2,-1.18,-0.43,-0.15,0.68,-0.26,0.28,-1.69,-0.24,-0.23,0.0,-1.75,0
-0.2,-0.13,0.92,-0.42,0.68,-0.26,1.3,1.05,-0.24,1.04,0.0,0.03,1
-0.2,1.44,-0.12,2.38,-1.48,-0.26,-0.73,-0.09,-0.24,-0.12,0.0,0.92,0
